Song,Artist(s),Writer(s),Album,Year,Ref.
"""The 1""",Taylor Swift,"Taylor Swift
Aaron Dessner",*Folklore*,2020,[10]
"""1 Step Forward, 3 Steps Back""",Olivia Rodrigo,"Olivia Rodrigo
Taylor Swift
Jack Antonoff",*Sour*,2021,[14]
"""22""",Taylor Swift,"Taylor Swift 
Max Martin
Shellback",*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Afterglow""",Taylor Swift,"Taylor Swift
Louis Bell
Adam King Feeney",*Lover*,2019,[16]
"""The Albatross""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""The Alchemy""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*The Tortured Poets Department*,2024,
"""The Alcott""","The National
featuring Taylor Swift","Matt Berninger
Aaron Dessner
Taylor Swift",*First Two Pages of Frankenstein*,2023,[17]
"""All of the Girls You Loved Before""",Taylor Swift,"Taylor Swift
Louis Bell
Adam King Feeney",Non-album promotional single[a],2023,[20]
"""All Too Well""",Taylor Swift,"Taylor Swift
Liz Rose",*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""All Too Well"" (10 minute version)",Taylor Swift,"Taylor Swift
Liz Rose",*Red (Taylor's Version)*,2021,[21]
"""All You Had to Do Was Stay""",Taylor Swift,"Taylor Swift
Max Martin",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""American Girl"" (cover)",Taylor Swift,Tom Petty,Non-album promotional single[b],2009,[23]
"""Anti-Hero""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights*,2022,[24]
"""The Archer""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Lover*,2019,[16]
"""August""",Taylor Swift,"Taylor Swift
Jack Antonoff",*Folklore*,2020,[10]
"""Babe""","Sugarland
featuring Taylor Swift","Taylor Swift 
Pat Monahan",*Bigger*,2018,[25]
"""Babe"" (Taylor's Version)",Taylor Swift,"Taylor Swift 
Pat Monahan",*Red (Taylor's Version)*,2021,[21]
"""Baby"" (live cover of ""Baby, Don't You Break My Heart Slow"")",Taylor Swift,"Vonda Shepard
James Newton Howard",*Napster Live*,2006,[26]
"""Back to December""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Bad Blood""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""Bad Blood"" (remixed single version)","Taylor Swift
featuring Kendrick Lamar","Taylor Swift
Max Martin
Shellback
Kendrick Lamar",*1989 (Taylor's Version)* (Deluxe edition),2015 and 2023,[29]
"""Beautiful Eyes""",Taylor Swift,Taylor Swift ‡,*Beautiful Eyes*,2008,[3]
"""Beautiful Ghosts""",Taylor Swift,"Taylor Swift
Andrew Lloyd Webber",*Cats: Highlights from the Motion Picture Soundtrack*,2019,[30]
"""Begin Again""",Taylor Swift,Taylor Swift ‡,*Red* and *Red (Taylor's Version)*,2012 and 2021,[15]
"""Bein' With My Baby""",Shea Fisher,"Taylor Swift 
Brett Beavers",*Shea*,2009,[31]
"""Bejeweled""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Midnights*,2022,[24]
"""The Best Day""",Taylor Swift,Taylor Swift ‡,*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""Best Days of Your Life""",Kellie Pickler,"Kellie Pickler
Taylor Swift",*Kellie Pickler*,2008,[33]
"""Bette Davis Eyes"" (live cover)",Taylor Swift,"Donna Weiss 
Jackie DeShannon",*Speak Now World Tour – Live*,2011,[34]
"""Better Man""",Little Big Town,Taylor Swift ‡,*The Breaker*,2016,[21]
"""Better Man"" (Taylor's Version)",Taylor Swift,Taylor Swift ‡,*Red (Taylor's Version)*,2021,
"""Better than Revenge""",Taylor Swift,Taylor Swift ‡,*Speak Now* and *Speak Now (Taylor's Version)*,2010 and 2023,[27][28]
"""Betty""",Taylor Swift,"Taylor Swift
William Bowery",*Folklore*,2020,[10]
"""Bigger Than the Whole Sky""",Taylor Swift,Taylor Swift ‡,*Midnights* (3am Edition),2022,[35]
"""Big Star (Live)""","Kenny Chesney
and Taylor Swift",Stephony Smith,*Live in No Shoes Nation*,2017,[36]
"""Birch""","Big Red Machine
featuring Taylor Swift","Aaron Dessner
Bryan Devendorf
Justin Vernon",*How Long Do You Think It's Gonna Last?*,2021,[37]
"""The Black Dog""",Taylor Swift,Taylor Swift ‡,"*The Tortured Poets Department*
(The Anthology)",2024,
"""Blank Space""",Taylor Swift,"Taylor Swift
Max Martin
Shellback",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""The Bolter""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,[38]
"""Both of Us""","B.o.B
featuring Taylor Swift","Bobby Ray Simmons, Jr.
Taylor Swift 
Ammar Malik
Lukasz Gottwald
Henry Walter",*Strange Clouds*,2012,[39]
"""Breathe""","Taylor Swift 
featuring Colbie Caillat","Taylor Swift 
Colbie Caillat",*Fearless* and *Fearless (Taylor's Version)*,2008 and 2021,[32]
"""Breathless"" (cover)",Taylor Swift,Kevin Griffin,*Hope for Haiti Now*,2010,[40]
"""But Daddy I Love Him""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*The Tortured Poets Department*,2024,
"""Bye Bye Baby""",Taylor Swift,"Taylor Swift 
Liz Rose",*Fearless (Taylor's Version)*,2021,[41]
"""Call It What You Want""",Taylor Swift,"Taylor Swift 
Jack Antonoff",*Reputation*,2017,[42]
"""Cardigan""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Folklore*,2020,[10]
"""Carolina""",Taylor Swift,Taylor Swift ‡,*Where the Crawdads Sing (Original Motion Picture Soundtrack)*,2022,[43]
"""Cassandra""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""Castles Crumbling""",Taylor Swift featuring Hayley Williams,Taylor Swift ‡,*Speak Now (Taylor's Version)*,2023,[28]
"""Champagne Problems""",Taylor Swift,"Taylor Swift 
William Bowery",*Evermore*,2020,[44]
"""Change""",Taylor Swift,Taylor Swift ‡,"*AT&T Team USA Soundtrack*,
*Fearless*, and *Fearless (Taylor's Version)*",2008 and 2021,[32]
"""Chloe or Sam or Sophia or Marcus""",Taylor Swift,"Taylor Swift 
Aaron Dessner","*The Tortured Poets Department*
(The Anthology)",2024,
"""Christmas Must Be Something More""",Taylor Swift,Taylor Swift ‡,*Sounds of the Season*,2007,[45]
"""Christmas Tree Farm""",Taylor Swift,Taylor Swift ‡,Non-album single,2019 and 2021,[46]
"""Christmases When You Were Mine""",Taylor Swift,"Taylor Swift 
Liz Rose 
Nathan Chapman",*Sounds of the Season*,2007,[45]
"""Clara Bow""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*The Tortured Poets Department*,2024,
"""Clean""",Taylor Swift,"Taylor Swift
Imogen Heap",*1989* and *1989 (Taylor's Version)*,2014 and 2023,[22]
"""Closure""",Taylor Swift,"Taylor Swift 
Aaron Dessner",*Evermore*,2020,[44]
